School Name,School Type,Starting Median Salary,Mid-Career Median Salary,Mid-Career 25th Percentile Salary,Mid-Career 75th Percentile Salary
Massachusetts Institute of Technology (MIT),Engineering,"$72,200.00","$126,000.00","$99,200.00","$168,000.00"
California Institute of Technology (CIT),Engineering,"$75,500.00","$123,000.00","$104,000.00","$161,000.00"
Harvey Mudd College,Engineering,"$71,800.00","$122,000.00","$96,000.00","$180,000.00"
"Polytechnic University of New York, Brooklyn",Engineering,"$62,400.00","$114,000.00","$94,300.00","$143,000.00"
Cooper Union,Engineering,"$62,200.00","$114,000.00","$80,200.00","$142,000.00"
Worcester Polytechnic Institute (WPI),Engineering,"$61,000.00","$114,000.00","$91,200.00","$137,000.00"
Carnegie Mellon University (CMU),Engineering,"$61,800.00","$111,000.00","$80,100.00","$150,000.00"
Rensselaer Polytechnic Institute (RPI),Engineering,"$61,100.00","$110,000.00","$85,500.00","$140,000.00"
Georgia Institute of Technology,Engineering,"$58,300.00","$106,000.00","$85,200.00","$137,000.00"
Colorado School of Mines,Engineering,"$58,100.00","$106,000.00","$87,900.00","$142,000.00"
Stevens Institute of Technology,Engineering,"$60,600.00","$105,000.00","$81,900.00","$138,000.00"
Illinois Institute of Technology (IIT),Engineering,"$56,000.00","$97,800.00","$77,400.00","$121,000.00"
Wentworth Institute of Technology,Engineering,"$53,000.00","$96,700.00","$74,000.00","$117,000.00"
Virginia Polytechnic Institute and State University (Virginia Tech),Engineering,"$53,500.00","$95,400.00","$71,400.00","$124,000.00"
South Dakota School of Mines & Technology,Engineering,"$55,800.00","$93,400.00","$81,900.00","$122,000.00"
New Mexico Institute of Mining and Technology (New Mexico Tech),Engineering,"$51,000.00","$93,400.00","$67,400.00","$123,000.00"
Rochester Institute of Technology (RIT),Engineering,"$48,900.00","$84,600.00","$62,100.00","$112,000.00"
Embry-Riddle Aeronautical University (ERAU),Engineering,"$52,700.00","$80,700.00","$64,000.00","$106,000.00"
Tennessee Technological University,Engineering,"$46,200.00","$80,000.00","$62,600.00","$99,500.00"
University of Illinois at Urbana-Champaign (UIUC),Party,"$52,900.00","$96,100.00","$68,900.00","$132,000.00"
"University of Maryland, College Park",Party,"$52,000.00","$95,000.00","$68,300.00","$126,000.00"
"University of California, Santa Barbara (UCSB)",Party,"$50,500.00","$95,000.00","$71,200.00","$129,000.00"
University of Texas (UT) - Austin,Party,"$49,700.00","$93,900.00","$67,400.00","$129,000.00"
State University of New York (SUNY) at Albany,Party,"$44,500.00","$92,200.00","$63,100.00","$135,000.00"
University of Florida (UF),Party,"$47,100.00","$87,900.00","$62,900.00","$120,000.00"
Louisiana State University (LSU),Party,"$46,900.00","$87,800.00","$61,300.00","$120,000.00"
University of Georgia (UGA),Party,"$44,100.00","$86,000.00","$57,800.00","$118,000.00"
Pennsylvania State University (PSU),Party,"$49,900.00","$85,700.00","$62,000.00","$117,000.00"
Arizona State University (ASU),Party,"$47,400.00","$84,100.00","$60,700.00","$114,000.00"
"Indiana University (IU), Bloomington",Party,"$46,300.00","$84,000.00","$60,400.00","$119,000.00"
University of Iowa (UI),Party,"$44,700.00","$83,900.00","$61,100.00","$116,000.00"
Randolph-Macon College,Party,"$42,600.00","$83,600.00","$54,100.00","$123,000.00"
"University of Alabama, Tuscaloosa",Party,"$41,300.00","$81,400.00","$56,500.00","$117,000.00"
University of Mississippi,Party,"$41,400.00","$79,700.00","$53,500.00","$108,000.00"
University of New Hampshire (UNH),Party,"$41,800.00","$78,300.00","$56,400.00","$114,000.00"
West Virginia University (WVU),Party,"$43,100.00","$78,100.00","$55,700.00","$106,000.00"
University of Tennessee,Party,"$43,800.00","$74,600.00","$53,200.00","$106,000.00"
Ohio University,Party,"$42,200.00","$73,400.00","$52,800.00","$106,000.00"
Florida State University (FSU),Party,"$42,100.00","$73,000.00","$52,800.00","$107,000.00"
Bucknell University,Liberal Arts,"$54,100.00","$110,000.00","$80,600.00","$156,000.00"
Colgate University,Liberal Arts,"$52,800.00","$108,000.00","$76,700.00","$167,000.00"
Amherst College,Liberal Arts,"$54,500.00","$107,000.00","$84,900.00","$162,000.00"
Lafayette College,Liberal Arts,"$53,900.00","$107,000.00","$79,300.00","$144,000.00"
Bowdoin College,Liberal Arts,"$48,100.00","$107,000.00","$74,600.00","$146,000.00"
College of the Holy Cross,Liberal Arts,"$50,200.00","$106,000.00","$65,600.00","$143,000.00"
Occidental College,Liberal Arts,"$51,900.00","$105,000.00","$54,800.00","$157,000.00"
Washington and Lee University,Liberal Arts,"$53,600.00","$104,000.00","$82,800.00","$146,000.00"
Swarthmore College,Liberal Arts,"$49,700.00","$104,000.00","$67,200.00","$167,000.00"
Davidson College,Liberal Arts,"$46,100.00","$104,000.00","$70,500.00","$146,000.00"
Carleton College,Liberal Arts,"$47,500.00","$103,000.00","$69,400.00","$141,000.00"
Williams College,Liberal Arts,"$51,700.00","$102,000.00","$76,400.00","$143,000.00"
Pomona College,Liberal Arts,"$48,600.00","$101,000.00","$63,300.00","$161,000.00"
"Wesleyan University (Middletown, Connecticut)",Liberal Arts,"$46,500.00","$97,900.00","$62,500.00","$126,000.00"
Bates College,Liberal Arts,"$47,300.00","$96,500.00","$60,700.00","$162,000.00"
Union College,Liberal Arts,"$47,200.00","$95,800.00","$75,200.00","$135,000.00"
University of Richmond,Liberal Arts,"$48,600.00","$94,600.00","$59,400.00","$151,000.00"
Vassar College,Liberal Arts,"$46,000.00","$94,600.00","$60,600.00","$123,000.00"
Middlebury College,Liberal Arts,"$47,700.00","$94,200.00","$69,100.00","$129,000.00"
Mount Holyoke College,Liberal Arts,"$42,400.00","$94,100.00","$57,100.00","$131,000.00"
Franklin and Marshall College,Liberal Arts,"$49,100.00","$92,800.00","$55,800.00","$185,000.00"
DePauw University,Liberal Arts,"$41,400.00","$88,300.00","$57,400.00","$133,000.00"
St. Olaf College,Liberal Arts,"$45,300.00","$86,200.00","$61,000.00","$120,000.00"
Colby College,Liberal Arts,"$46,400.00","$85,800.00","$63,500.00","$129,000.00"
Gettysburg College,Liberal Arts,"$44,700.00","$85,800.00","$66,300.00","$132,000.00"
Siena College,Liberal Arts,"$45,500.00","$85,200.00","$58,400.00","$129,000.00"
Smith College,Liberal Arts,"$44,000.00","$83,900.00","$59,800.00","$129,000.00"
Hamilton College,Liberal Arts,"$49,200.00","$83,700.00","$51,900.00","$123,000.00"
Randolph-Macon College,Liberal Arts,"$42,600.00","$83,600.00","$54,100.00","$123,000.00"
Wellesley College,Liberal Arts,"$42,800.00","$83,500.00","$58,600.00","$125,000.00"
Denison University,Liberal Arts,"$42,000.00","$83,500.00","$62,100.00","$122,000.00"
Oberlin College,Liberal Arts,"$43,400.00","$81,600.00","$46,400.00","$128,000.00"
University of Puget Sound,Liberal Arts,"$46,600.00","$81,500.00","$60,100.00","$104,000.00"
Colorado College (CC),Liberal Arts,"$38,500.00","$81,400.00","$43,000.00","$148,000.00"
Reed College,Liberal Arts,"$40,500.00","$81,100.00","$67,400.00","$101,000.00"
Gustavus Adolphus College,Liberal Arts,"$44,500.00","$80,600.00","$49,300.00","$101,000.00"
Whitman College,Liberal Arts,"$43,500.00","$80,100.00","$64,800.00","$111,000.00"
Ursinus College,Liberal Arts,"$42,100.00","$80,000.00","$54,300.00","$100,000.00"
Juniata College,Liberal Arts,"$41,800.00","$78,900.00","$67,200.00","$110,000.00"
Wittenberg University,Liberal Arts,"$39,200.00","$78,200.00","$54,100.00","$131,000.00"
Grinnell College,Liberal Arts,"$42,600.00","$76,600.00","$65,100.00","$116,000.00"
Skidmore College,Liberal Arts,"$41,600.00","$74,600.00","$42,800.00","$147,000.00"
Moravian College,Liberal Arts,"$42,500.00","$74,400.00","$56,700.00","$94,900.00"
Lewis & Clark College,Liberal Arts,"$38,900.00","$72,600.00","$53,400.00","$104,000.00"
Fort Lewis College,Liberal Arts,"$42,000.00","$69,800.00","$55,000.00","$94,000.00"
Thomas Aquinas College,Liberal Arts,"$41,500.00","$67,500.00","$44,600.00","$93,100.00"
Evergreen State College,Liberal Arts,"$39,500.00","$63,900.00","$47,200.00","$91,600.00"
Dartmouth College,Ivy League,"$58,000.00","$134,000.00","$90,200.00","$234,000.00"
Princeton University,Ivy League,"$66,500.00","$131,000.00","$100,000.00","$190,000.00"
Yale University,Ivy League,"$59,100.00","$126,000.00","$80,600.00","$198,000.00"
Harvard University,Ivy League,"$63,400.00","$124,000.00","$86,200.00","$179,000.00"
University of Pennsylvania,Ivy League,"$60,900.00","$120,000.00","$79,200.00","$192,000.00"
Cornell University,Ivy League,"$60,300.00","$110,000.00","$79,800.00","$160,000.00"
Brown University,Ivy League,"$56,200.00","$109,000.00","$74,400.00","$159,000.00"
Columbia University,Ivy League,"$59,400.00","$107,000.00","$71,900.00","$161,000.00"
"University of California, Berkeley",State,"$59,900.00","$112,000.00","$81,000.00","$149,000.00"
University of Virginia (UVA),State,"$52,700.00","$103,000.00","$71,800.00","$146,000.00"
Cal Poly San Luis Obispo,State,"$57,200.00","$101,000.00","$74,700.00","$133,000.00"
University of California at Los Angeles (UCLA),State,"$52,600.00","$101,000.00","$72,500.00","$139,000.00"
"University of California, San Diego (UCSD)",State,"$51,100.00","$101,000.00","$75,400.00","$131,000.00"
"University of California, Davis",State,"$52,300.00","$99,600.00","$71,600.00","$135,000.00"
University of Colorado - Boulder (UCB),State,"$47,100.00","$97,600.00","$69,000.00","$128,000.00"
"University of California, Irvine (UCI)",State,"$48,300.00","$96,700.00","$66,000.00","$123,000.00"
University of Illinois at Urbana-Champaign (UIUC),State,"$52,900.00","$96,100.00","$68,900.00","$132,000.00"
Texas A&M University,State,"$49,700.00","$96,100.00","$71,300.00","$131,000.00"
Binghamton University,State,"$53,600.00","$95,900.00","$71,200.00","$146,000.00"
University of Missouri - Rolla (UMR),State,"$57,100.00","$95,800.00","$80,400.00","$122,000.00"
San Jose State University (SJSU),State,"$53,500.00","$95,600.00","$70,500.00","$122,000.00"
"University of Maryland, College Park",State,"$52,000.00","$95,000.00","$68,300.00","$126,000.00"
"University of California, Santa Barbara (UCSB)",State,"$50,500.00","$95,000.00","$71,200.00","$129,000.00"
University of Texas (UT) - Austin,State,"$49,700.00","$93,900.00","$67,400.00","$129,000.00"
University of Michigan,State,"$52,700.00","$93,000.00","$69,400.00","$128,000.00"
Stony Brook University,State,"$49,500.00","$93,000.00","$67,100.00","$129,000.00"
State University of New York (SUNY) at Albany,State,"$44,500.00","$92,200.00","$63,100.00","$135,000.00"
Rutgers University,State,"$50,300.00","$91,800.00","$65,100.00","$128,000.00"
Purdue University,State,"$51,400.00","$90,500.00","$67,400.00","$121,000.00"
University of Connecticut (UConn),State,"$48,000.00","$88,800.00","$66,400.00","$120,000.00"
University of Massachusetts (UMass) - Amherst,State,"$46,600.00","$88,200.00","$61,300.00","$122,000.00"
"California State University (CSU), Chico",State,"$47,400.00","$88,100.00","$62,800.00","$122,000.00"
University of Florida (UF),State,"$47,100.00","$87,900.00","$62,900.00","$120,000.00"
University of Wisconsin (UW) - Madison,State,"$48,900.00","$87,800.00","$62,400.00","$118,000.00"
Louisiana State University (LSU),State,"$46,900.00","$87,800.00","$61,300.00","$120,000.00"
"California State University, Fullerton (CSUF)",State,"$45,700.00","$87,000.00","$62,500.00","$119,000.00"
George Mason University,State,"$47,800.00","$86,900.00","$67,200.00","$114,000.00"
University of Massachusetts (UMass) - Lowell,State,"$45,400.00","$86,600.00","$65,000.00","$113,000.00"
San Francisco State University (SFSU),State,"$47,300.00","$86,400.00","$62,700.00","$114,000.00"
University of Arizona,State,"$47,500.00","$86,100.00","$61,700.00","$117,000.00"
Clemson University,State,"$48,400.00","$86,000.00","$61,800.00","$111,000.00"
University of Georgia (UGA),State,"$44,100.00","$86,000.00","$57,800.00","$118,000.00"
Pennsylvania State University (PSU),State,"$49,900.00","$85,700.00","$62,000.00","$117,000.00"
University of Washington (UW),State,"$48,800.00","$85,300.00","$59,800.00","$115,000.00"
Michigan State University (MSU),State,"$46,300.00","$85,300.00","$61,500.00","$119,000.00"
University of Rhode Island (URI),State,"$43,900.00","$85,300.00","$60,100.00","$112,000.00"
San Diego State University (SDSU),State,"$46,200.00","$85,200.00","$61,800.00","$116,000.00"
Auburn University,State,"$45,400.00","$84,700.00","$62,700.00","$109,000.00"
Washington State University (WSU),State,"$45,300.00","$84,700.00","$59,000.00","$113,000.00"
"California State University, Long Beach (CSULB)",State,"$45,100.00","$84,700.00","$62,500.00","$113,000.00"
Iowa State University,State,"$45,400.00","$84,600.00","$60,000.00","$109,000.00"
University of Delaware,State,"$45,900.00","$84,500.00","$64,000.00","$119,000.00"
University of Colorado - Denver,State,"$46,100.00","$84,400.00","$58,600.00","$105,000.00"
"California State University, East Bay (CSUEB)",State,"$49,200.00","$84,300.00","$62,400.00","$115,000.00"
State University of New York (SUNY) at Farmingdale,State,"$47,300.00","$84,200.00","$59,800.00","$110,000.00"
University of Minnesota,State,"$46,200.00","$84,200.00","$63,200.00","$112,000.00"
Arizona State University (ASU),State,"$47,400.00","$84,100.00","$60,700.00","$114,000.00"
"University of California, Santa Cruz (UCSC)",State,"$44,700.00","$84,100.00","$62,000.00","$121,000.00"
"Indiana University (IU), Bloomington",State,"$46,300.00","$84,000.00","$60,400.00","$119,000.00"
University of Iowa (UI),State,"$44,700.00","$83,900.00","$61,100.00","$116,000.00"
Ohio State University (OSU),State,"$44,900.00","$83,700.00","$60,700.00","$116,000.00"
North Carolina State University (NCSU),State,"$47,200.00","$83,300.00","$64,800.00","$112,000.00"
Oregon State University (OSU),State,"$45,100.00","$83,300.00","$64,000.00","$113,000.00"
University of Utah,State,"$45,400.00","$83,200.00","$58,400.00","$116,000.00"
"University of Nevada, Reno (UNR)",State,"$46,500.00","$82,900.00","$54,600.00","$113,000.00"
University of Oklahoma,State,"$44,700.00","$82,900.00","$60,300.00","$114,000.00"
University of Arkansas,State,"$44,100.00","$82,800.00","$60,700.00","$113,000.00"
University of Vermont (UVM),State,"$44,800.00","$82,700.00","$58,000.00","$122,000.00"
University of Alabama at Huntsville (UAH),State,"$43,100.00","$82,700.00","$67,800.00","$106,000.00"
"California State University, Sacramento (CSUS)",State,"$47,800.00","$82,400.00","$59,600.00","$111,000.00"
University of Idaho,State,"$44,900.00","$82,000.00","$56,700.00","$104,000.00"
University of Illinois at Chicago,State,"$47,500.00","$81,700.00","$58,800.00","$110,000.00"
State University of New York (SUNY) at Buffalo,State,"$46,200.00","$81,700.00","$61,400.00","$110,000.00"
University of Kansas,State,"$42,400.00","$81,600.00","$57,200.00","$115,000.00"
University of New Mexico (UNM),State,"$41,600.00","$81,600.00","$59,100.00","$105,000.00"
University of North Carolina at Chapel Hill (UNCH),State,"$42,900.00","$81,500.00","$57,500.00","$117,000.00"
"University of Alabama, Tuscaloosa",State,"$41,300.00","$81,400.00","$56,500.00","$117,000.00"
"University of California, Riverside (UCR)",State,"$46,800.00","$81,300.00","$59,900.00","$109,000.00"
State University of New York (SUNY) at Geneseo,State,"$42,300.00","$81,300.00","$47,600.00","$117,000.00"
University of Missouri - Columbia,State,"$41,700.00","$81,000.00","$57,100.00","$111,000.00"
University of Nebraska,State,"$45,700.00","$80,900.00","$56,600.00","$113,000.00"
University of Texas at Arlington (UTA),State,"$45,400.00","$80,800.00","$61,200.00","$106,000.00"
Northern Illinois University (NIU),State,"$43,600.00","$80,800.00","$60,200.00","$111,000.00"
Oklahoma State University,State,"$42,800.00","$80,700.00","$56,500.00","$114,000.00"
University of North Dakota,State,"$44,000.00","$80,600.00","$56,400.00","$111,000.00"
"California State University, Northridge (CSUN)",State,"$45,500.00","$80,400.00","$57,800.00","$108,000.00"
University of Houston (UH),State,"$46,000.00","$79,900.00","$56,200.00","$106,000.00"
University of Mississippi,State,"$41,400.00","$79,700.00","$53,500.00","$108,000.00"
New Mexico State University,State,"$44,300.00","$79,500.00","$53,800.00","$102,000.00"
Lamar University,State,"$46,500.00","$79,400.00","$51,600.00","$114,000.00"
Mississippi State University (MSU),State,"$44,500.00","$79,300.00","$58,800.00","$108,000.00"
Colorado State University (CSU),State,"$44,800.00","$79,000.00","$57,100.00","$112,000.00"
Kansas State University (KSU),State,"$43,300.00","$79,000.00","$54,100.00","$106,000.00"
University of Wyoming (UW),State,"$44,500.00","$78,700.00","$54,000.00","$105,000.00"
Utah State University,State,"$43,800.00","$78,700.00","$55,400.00","$101,000.00"
University of Wisconsin (UW) - Platteville,State,"$45,800.00","$78,500.00","$61,200.00","$100,000.00"
University of Oregon,State,"$42,200.00","$78,400.00","$56,200.00","$117,000.00"
University of Kentucky (UK),State,"$42,800.00","$78,300.00","$57,300.00","$107,000.00"
University of New Hampshire (UNH),State,"$41,800.00","$78,300.00","$56,400.00","$114,000.00"
University of Massachusetts (UMass) - Boston,State,"$45,600.00","$78,200.00","$53,800.00","$109,000.00"
West Virginia University (WVU),State,"$43,100.00","$78,100.00","$55,700.00","$106,000.00"
University of Maryland Baltimore County (UMBC),State,"$47,000.00","$77,800.00","$59,100.00","$105,000.00"
North Dakota State University (NDSU),State,"$45,100.00","$77,800.00","$55,800.00","$100,000.00"
State University of New York (SUNY) at Oswego,State,"$38,000.00","$77,800.00","$53,000.00","$115,000.00"
University of Massachusetts (UMass) - Dartmouth,State,"$43,200.00","$77,700.00","$56,200.00","$107,000.00"
Montana State University - Bozeman,State,"$46,600.00","$77,500.00","$58,100.00","$111,000.00"
State University of New York (SUNY) at Oneonta,State,"$37,500.00","$76,700.00","$54,300.00","$97,700.00"
University of Louisiana (UL) at Lafayette,State,"$41,100.00","$76,300.00","$54,500.00","$107,000.00"
State University of New York (SUNY) at Plattsburgh,State,"$40,800.00","$76,200.00","$54,100.00","$105,000.00"
Wayne State University,State,"$42,800.00","$76,100.00","$56,200.00","$101,000.00"
University of Hawaii,State,"$43,800.00","$76,000.00","$56,300.00","$104,000.00"
University of Toledo,State,"$43,100.00","$75,900.00","$54,100.00","$100,000.00"
Florida International University (FIU),State,"$43,200.00","$75,500.00","$55,800.00","$98,200.00"
University of Wisconsin (UW) - Whitewater,State,"$40,800.00","$75,500.00","$53,500.00","$99,300.00"
Western Washington University,State,"$42,700.00","$75,400.00","$56,700.00","$99,200.00"
Minnesota State University - Mankato,State,"$43,300.00","$74,700.00","$53,800.00","$95,700.00"
University of Tennessee,State,"$43,800.00","$74,600.00","$53,200.00","$106,000.00"
University of Wisconsin (UW) - Milwaukee,State,"$42,300.00","$74,600.00","$54,000.00","$93,700.00"
University of Arkansas - Monticello (UAM),State,"$39,200.00","$74,500.00","$46,100.00","$110,000.00"
Penn State - Harrisburg,State,"$45,700.00","$74,000.00","$53,100.00","$104,000.00"
University of North Carolina at Charlotte (UNCC),State,"$43,100.00","$74,000.00","$53,200.00","$99,500.00"
Georgia State University,State,"$41,800.00","$74,000.00","$55,300.00","$99,900.00"
Western Michigan University (WMU),State,"$42,300.00","$73,800.00","$52,500.00","$103,000.00"
South Dakota State University (SDSU),State,"$41,100.00","$73,500.00","$49,900.00","$99,400.00"
Idaho State University,State,"$44,900.00","$73,400.00","$49,600.00","$101,000.00"
Ohio University,State,"$42,200.00","$73,400.00","$52,800.00","$106,000.00"
Illinois State University,State,"$42,000.00","$73,400.00","$55,200.00","$105,000.00"
Cleveland State University,State,"$43,500.00","$73,100.00","$51,600.00","$97,000.00"
Florida State University (FSU),State,"$42,100.00","$73,000.00","$52,800.00","$107,000.00"
"University of Alaska, Anchorage",State,"$45,900.00","$72,600.00","$56,600.00","$99,300.00"
Fitchburg State College,State,"$42,400.00","$72,600.00","$56,100.00","$99,600.00"
University of Nebraska at Omaha,State,"$41,500.00","$72,600.00","$54,400.00","$97,400.00"
Southern Illinois University Carbondale,State,"$43,000.00","$72,500.00","$51,300.00","$99,300.00"
University of Texas at El Paso (UTEP),State,"$43,400.00","$72,100.00","$50,400.00","$99,500.00"
"California State University, Dominguez Hills (CSUDH)",State,"$42,700.00","$72,100.00","$47,000.00","$92,200.00"
University Of Maine,State,"$41,200.00","$72,100.00","$55,600.00","$99,300.00"
Eastern Michigan University,State,"$40,300.00","$72,100.00","$52,800.00","$95,400.00"
Bowling Green State University,State,"$39,800.00","$72,100.00","$51,800.00","$101,000.00"
University of Montana,State,"$37,300.00","$71,900.00","$51,500.00","$96,400.00"
University of Central Florida (UCF),State,"$42,600.00","$71,700.00","$51,500.00","$98,400.00"
University of South Carolina,State,"$40,000.00","$71,700.00","$49,900.00","$98,400.00"
"University of Nevada, Las Vegas (UNLV)",State,"$45,200.00","$71,600.00","$52,400.00","$100,000.00"
St. Cloud State University,State,"$41,800.00","$71,400.00","$49,400.00","$101,000.00"
University of Wisconsin (UW) - Parkside,State,"$40,700.00","$71,400.00","$53,100.00","$84,900.00"
"California State University (CSU), Stanislaus",State,"$38,000.00","$71,400.00","$50,500.00","$94,100.00"
Humboldt State University,State,"$42,600.00","$71,300.00","$56,300.00","$94,400.00"
Florida Atlantic University (FAU),State,"$42,600.00","$71,100.00","$53,000.00","$99,500.00"
University of South Florida (USF),State,"$41,100.00","$71,100.00","$51,500.00","$98,100.00"
Portland State University (PSU),State,"$42,600.00","$70,900.00","$52,300.00","$94,400.00"
Eastern Washington University,State,"$38,600.00","$70,900.00","$50,500.00","$93,100.00"
University of Texas at San Antonio (UTSA),State,"$42,500.00","$70,700.00","$49,800.00","$92,700.00"
University of Akron,State,"$41,100.00","$70,300.00","$53,300.00","$95,200.00"
State University of New York (SUNY) at Potsdam,State,"$38,000.00","$70,300.00","$51,200.00","$100,000.00"
University of Alabama at Birmingham (UAB),State,"$39,200.00","$70,100.00","$53,400.00","$91,400.00"
University of Memphis (U of M),State,"$41,400.00","$69,700.00","$49,100.00","$93,500.00"
Boise State University (BSU),State,"$40,800.00","$69,500.00","$48,700.00","$87,500.00"
Missouri State University (MSU),State,"$36,100.00","$69,500.00","$46,900.00","$102,000.00"
University of Wisconsin (UW) - La Crosse,State,"$42,200.00","$69,300.00","$47,200.00","$93,100.00"
Appalachian State University,State,"$40,400.00","$69,100.00","$50,400.00","$90,800.00"
Virginia Commonwealth University (VCU),State,"$42,000.00","$68,400.00","$51,900.00","$100,000.00"
University of Wisconsin (UW) - Stout,State,"$43,600.00","$68,300.00","$50,600.00","$91,600.00"
East Carolina University (ECU),State,"$40,200.00","$67,500.00","$52,000.00","$98,700.00"
Utah Valley State College,State,"$42,400.00","$67,100.00","$44,100.00","$84,900.00"
University of Missouri - St. Louis (UMSL),State,"$41,400.00","$67,100.00","$49,600.00","$97,600.00"
Western Carolina University,State,"$36,900.00","$66,600.00","$49,500.00","$94,400.00"
University of Wisconsin (UW) - Oshkosh,State,"$39,300.00","$66,400.00","$49,700.00","$90,100.00"
State University of New York (SUNY) at Fredonia,State,"$37,800.00","$66,200.00","$44,200.00","$93,300.00"
University of Missouri - Kansas City (UMKC),State,"$38,900.00","$65,800.00","$48,100.00","$95,800.00"
University of Wisconsin (UW) - Eau Claire,State,"$41,400.00","$64,800.00","$47,300.00","$93,100.00"
Ball State University (BSU),State,"$39,100.00","$64,500.00","$48,200.00","$89,300.00"
University of North Carolina at Wilmington (UNCW),State,"$37,500.00","$64,400.00","$46,600.00","$97,100.00"
University of Wisconsin (UW) - Stevens Point,State,"$39,800.00","$64,000.00","$45,100.00","$95,400.00"
University of Southern Maine,State,"$39,400.00","$63,600.00","$47,900.00","$85,700.00"
Arkansas State University (ASU),State,"$38,700.00","$63,300.00","$45,300.00","$83,900.00"
Kent State University,State,"$38,700.00","$62,600.00","$45,800.00","$87,000.00"
Tarleton State University (TSU),State,"$40,800.00","$62,400.00","$47,400.00","$80,400.00"
University of Wisconsin (UW) - Green Bay,State,"$35,800.00","$60,600.00","$46,800.00","$81,800.00"
Morehead State University,State,"$34,800.00","$60,600.00","$46,500.00","$72,000.00"
Austin Peay State University,State,"$37,700.00","$59,200.00","$40,500.00","$73,900.00"
Pittsburg State University,State,"$40,400.00","$58,200.00","$46,000.00","$84,600.00"
Southern Utah University,State,"$41,900.00","$56,500.00","$39,700.00","$78,400.00"
Montana State University - Billings,State,"$37,900.00","$50,600.00","$31,800.00","$78,500.00"
Black Hills State University,State,"$35,300.00","$43,900.00","$32,200.00","$60,900.00"
